session_id,user_id,device,region,channel,product_category,session_start,session_end,session_date,day_of_week,session_duration_mins,reached_browse,reached_cart,reached_checkout,reached_purchase,furthest_stage,furthest_stage_num,revenue,converted
SES-00001,USR-00001,Tablet,South,Organic,Electronics,2026-01-07 23:46:20.3585010,2026-01-07 23:51:20.3585010,2026-01-07,Wednesday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00002,USR-00002,Desktop,East,Email,Sports,2026-01-04 21:06:42.2960100,2026-01-04 21:10:42.2960100,2026-01-04,Sunday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00003,USR-00003,Tablet,South,Email,Fashion,2025-12-19 20:49:00.8953280,2025-12-19 20:49:00.8953280,2025-12-19,Friday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00004,USR-00004,Tablet,East,Organic,Sports,2026-01-08 07:58:00.8406960,2026-01-08 08:02:00.8406960,2026-01-08,Thursday,4.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00005,USR-00005,Desktop,South,Google Ads,Beauty,2025-12-21 20:56:31.7014620,2025-12-21 21:04:31.7014620,2025-12-21,Sunday,8.000000,1,1,1,1,Purchase,4,427.16,Converted
SES-00006,USR-00006,Desktop,East,Email,Electronics,2026-01-07 07:00:28.7950230,2026-01-07 07:03:28.7950230,2026-01-07,Wednesday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00007,USR-00007,Desktop,West,Social Media,Fashion,2026-01-01 01:56:15.1687370,2026-01-01 02:03:15.1687370,2026-01-01,Thursday,7.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00008,USR-00008,Mobile,North,Social Media,Sports,2026-01-05 12:57:39.1447400,2026-01-05 12:57:39.1447400,2026-01-05,Monday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00009,USR-00009,Desktop,North,Organic,Fashion,2025-12-22 10:35:04.6559280,2025-12-22 10:39:04.6559280,2025-12-22,Monday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00010,USR-00010,Mobile,East,Organic,Sports,2025-12-16 08:09:25.2736810,2025-12-16 08:09:25.2736810,2025-12-16,Tuesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00011,USR-00011,Tablet,North,Google Ads,Home,2025-12-14 23:17:35.7758160,2025-12-14 23:20:35.7758160,2025-12-14,Sunday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00012,USR-00012,Desktop,South,Social Media,Home,2025-12-10 23:50:49.8426290,2025-12-10 23:53:49.8426290,2025-12-10,Wednesday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00013,USR-00013,Mobile,South,Google Ads,Sports,2025-12-22 03:11:19.3438500,2025-12-22 03:13:19.3438500,2025-12-22,Monday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00014,USR-00014,Desktop,West,Email,Electronics,2026-01-07 03:51:43.5103500,2026-01-07 03:59:43.5103500,2026-01-07,Wednesday,8.000000,1,1,1,0,Checkout,3,0.00,Not Converted
